""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"100"	"AT1G10652.1"	"At1g10652"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"101"	"AT1G11060.1"	"At1g11060"	"putative mitosis cohesin cofactor, WINGS APART-LIKE (AtWAPL1)"	"soluble or peripheral protein"	"0"
"102"	"AT1G11170.1"	"At1g11170"	"protein of unknown function"	"membrane protein"	"1"
"103"	"AT1G11390.1"	"At1g11390"	"putative ABC1-type atypical kinase (AtABC1K10a)"	"membrane protein"	"4"
"104"	"AT1G11630.1"	"At1g11630"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"105"	"AT1G11710.1"	"At1g11710"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"106"	"AT1G11730.1"	"At1g11730"	"putative beta-1,3-galactosyltransferase (AtB3GALT1)"	"membrane protein"	"1"
"107"	"AT1G11800.1"	"At1g11800"	"putative tyrosyl-DNA phosphodiesterase (AtTDP2)"	"soluble or peripheral protein"	"0"
"108"	"AT1G11860.1"	"At1g11860"	"putative aminomethyltransferase component of glycine decarboxylase...(AtGDT1/AtGDC-T1)"	"soluble or peripheral protein"	"0"
"109"	"AT1G11870.1"	"At1g11870"	"putative seryl-tRNA synthetase (AtSerRS)"	"soluble or peripheral protein"	"0"
"110"	"AT1G11940.1"	"At1g11940"	"putative membrane protein of unknown function"	"membrane protein"	"1"
"111"	"AT1G12140.1"	"At1g12140"	"putative glucosinolate S-oxygenase (AtFMOGS-OX5)"	"soluble or peripheral protein"	"0"
"112"	"AT1G12160.1"	"At1g12160"	"putative FAD-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"113"	"AT1G12211.1"	"At1g12211"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"114"	"AT1G12300.1"	"At1g12300"	"putative mitochondrial RNA processing factor (AtRFL2)"	"soluble or peripheral protein"	"0"
"115"	"AT1G12370.1"	"At1g12370"	"putative cyclobutane pyrimidine dimer (CPD) photolyase (AtPHR1/AtUVR2)"	"soluble or peripheral protein"	"0"
"116"	"AT1G12411.1"	"At1g12411"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"117"	"AT1G12451.1"	"At1g12451"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"118"	"AT1G12620.1"	"At1g12620"	"putative mitochondrial RNA processing factor (AtRFL3/AtRPF8)"	"soluble or peripheral protein"	"0"
"119"	"AT1G12700.1"	"At1g12700"	"putative mitochondrial mRNA processing factor (AtRPF1)"	"soluble or peripheral protein"	"0"
"120"	"AT1G12770.1"	"At1g12770"	"putative DEAD-box RNA helicase (AtRH47/AtISE1)"	"soluble or peripheral protein"	"0"
"121"	"AT1G12775.1"	"At1g12775"	"putative mitochondrial RNA processing factor (AtRFL2.5)"	"soluble or peripheral protein"	"0"
"122"	"AT1G13040.1"	"At1g13040"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"123"	"AT1G13245.1"	"At1g13245"	"putative precursor of DVL/ROT regulatory peptide (AtDVL4/AtRTFL17)"	"soluble or peripheral protein"	"0"
"124"	"AT1G13340.1"	"At1g13340"	"putative (yeast IST1)-like protein, affects ESCRT-mediated endosomal trafficking (AtISTL6)"	"soluble or peripheral protein"	"0"
"125"	"AT1G13460.1"	"At1g13460"	"putative B*-type subunit of PP2A-type protein phosphatase complex (AtPP2AB*-theta)"	"soluble or peripheral protein"	"0"
"126"	"AT1G13608.1"	"At1g13608"	"putative defensin-like protein"	"soluble or peripheral protein"	"0"
"127"	"AT1G13800.1"	"At1g13800"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"128"	"AT1G13810.1"	"At1g13810"	"putative exonuclease"	"soluble or peripheral protein"	"0"
"129"	"AT1G14140.1"	"At1g14140"	"putative MtcC PUMP-type proton gradient uncoupling protein (AtPUMP3/AtUCP3)"	"membrane protein"	"6"
"130"	"AT1G14310.1"	"At1g14310"	"putative HAD-type hydrolase"	"soluble or peripheral protein"	"0"
"131"	"AT1G14450.1"	"At1g14450"	"putative component B12/NDUFB3 of NADH dehydrogenase beta subcomplex (AtB12-1/AtSMP1)"	"membrane protein"	"1"
"132"	"AT1G14470.1"	"At1g14470"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"133"	"AT1G14560.1"	"At1g14560"	"putative mitochondrial MtcC-type coenzyme A transporter (AtCoAc1)"	"membrane protein"	"6"
"134"	"AT1G14610.1"	"At1g14610"	"putative valyl-tRNA synthetase"	"soluble or peripheral protein"	"0"
"135"	"AT1G14620.1"	"At1g14620"	"putative component mL46 of large subunit of mitochondrial ribosome (AtmL46/AtDECOY)"	"soluble or peripheral protein"	"0"
"136"	"AT1G14860.1"	"At1g14860"	"putative NUDIX hydrolase (AtNUDX18/AtNUDT18)"	"soluble or peripheral protein"	"0"
"137"	"AT1G14910.1"	"At1g14910"	"putative ANTH-type accessory protein in endocytosis (AtPICALM1a)"	"soluble or peripheral protein"	"0"
"138"	"AT1G14980.1"	"At1g14980"	"putative (yeast Hsp10)-type mitochondrial chaperonin (AtmtHSP10A)"	"soluble or peripheral protein"	"0"
"139"	"AT1G14990.1"	"At1g14990"	"protein of unknown function"	"membrane protein"	"1"
"140"	"AT1G15010.1"	"At1g15010"	"protein of unknown function"	"membrane protein"	"1"
"141"	"AT1G15120.1"	"At1g15120"	"putative 8 kDa hinge protein component of cytochrome bc1 complex (AtQCR6-1)"	"soluble or peripheral protein"	"0"
"142"	"AT1G15220.1"	"At1g15220"	"cytochrome c biogenesis protein (AtCcmH)"	"membrane protein"	"1"
"143"	"AT1G15390.1"	"At1g15390"	"peptide deformylase (AtPDF1a)"	"soluble or peripheral protein"	"0"
"144"	"AT1G15480.1"	"At1g15480"	"putative mitochondrial RNA editing factor, PRECOCIOUS (AtPOCO1)"	"soluble or peripheral protein"	"0"
"145"	"AT1G15810.1"	"At1g15810"	"putative component uS15M of small subunit of mitochondrial ribosome (AtmtRPS15a)"	"soluble or peripheral protein"	"0"
"146"	"AT1G15860.1"	"At1g15860"	"putative DCN1-like protein of unknown function"	"soluble or peripheral protein"	"0"
"147"	"AT1G15870.1"	"At1g15870"	"putative (yeast MAM33)-like mitochondrial protein of unknown function"	"soluble or peripheral protein"	"0"
"148"	"AT1G15885.1"	"At1g15885"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"149"	"AT1G16000.1"	"At1g16000"	"putative outer envelope protein of unknown function (AtOEP9)"	"membrane protein"	"1"
"150"	"AT1G16570.1"	"At1g16570"	"putative ALG1 N-glycosylation beta-1,4-mannosyl-transferase (AtTUN1)"	"membrane protein"	"3"
"151"	"AT1G16700.1"	"At1g16700"	"putative component TYKY of NADH dehydrogenase complex (AtTYKY-2)"	"soluble or peripheral protein"	"0"
"152"	"AT1G16740.1"	"At1g16740"	"putative component bL20M of large subunit of mitochondrial ribosome (AtmtRPL20)"	"soluble or peripheral protein"	"0"
"153"	"AT1G16830.1"	"At1g16830"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"membrane protein"	"1"
"154"	"AT1G16840.1"	"At1g16840"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"155"	"AT1G16870.1"	"At1g16870"	"putative component mS29 of small subunit of mitochondrial ribosome (AtmS29)"	"soluble or peripheral protein"	"0"
"156"	"AT1G17290.1"	"At1g17290"	"putative alanine aminotransferase (AtAlaAT1/AtAOAT4)"	"soluble or peripheral protein"	"0"
"157"	"AT1G17345.1"	"At1g17345"	"putative SAUR-type hormone signal effector (AtSAUR77)"	"soluble or peripheral protein"	"0"
"158"	"AT1G17350.1"	"At1g17350"	"putative (animal NDUFAF1)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"159"	"AT1G17430.1"	"At1g17430"	"putative alpha/beta-fold-type hydrolase"	"soluble or peripheral protein"	"0"
"160"	"AT1G17510.1"	"At1g17510"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"161"	"AT1G17530.1"	"At1g17530"	"mitochondrial inner membrane translocase component (AtTIM23-1)"	"membrane protein"	"4"
"162"	"AT1G17560.1"	"At1g17560"	"putative mitochondrial L14-type ribosomal protein, HUELLENLOS (AtHLL)"	"soluble or peripheral protein"	"0"
"163"	"AT1G17630.1"	"At1g17630"	"putative PPR-type organelle RNA editing factor (AtCWM1)"	"soluble or peripheral protein"	"0"
"164"	"AT1G17744.1"	"At1g17744"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"165"	"AT1G17830.1"	"At1g17830"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"166"	"AT1G17960.1"	"At1g17960"	"putative threonyl-tRNA synthetase"	"soluble or peripheral protein"	"0"
"167"	"AT1G18020.1"	"At1g18020"	"oxophytodienoic acid reductase (AtOPR5)"	"soluble or peripheral protein"	"0"
"168"	"AT1G18320.1"	"At1g18320"	"mitochondrial inner membrane translocase component (AtTIM22-1)"	"membrane protein"	"3"
"169"	"AT1G18350.1"	"At1g18350"	"MAP kinase kinase, required for constitutive defense response (AtMKK7/AtMAPKK7)"	"soluble or peripheral protein"	"0"
"170"	"AT1G18420.1"	"At1g18420"	"putative ALMT plasmamembrane malate anion channel (AtALMT3)"	"membrane protein"	"8"
"171"	"AT1G18480.1"	"At1g18480"	"putative SLP-type phosphoesterase (AtSLP2)"	"soluble or peripheral protein"	"0"
"172"	"AT1G18490.1"	"At1g18490"	"putative plant cysteine oxidase (AtPCO3)"	"soluble or peripheral protein"	"0"
"173"	"AT1G18600.1"	"At1g18600"	"putative rhomboid-type serine peptidase (AtRBL12)"	"membrane protein"	"7"
"174"	"AT1G18630.1"	"At1g18630"	"putative component mS85 of small subunit of mitochondrial ribosome (AtmS85/AtRBG6)"	"soluble or peripheral protein"	"0"
"175"	"AT1G18835.1"	"At1g18835"	"putative MIF-type transcription factor, MINI ZINC FINGER (AtMIF3)"	"soluble or peripheral protein"	"0"
"176"	"AT1G18900.1"	"At1g18900"	"putative organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"177"	"AT1G19140.1"	"At1g19140"	"putative ubiquinone biosynthesis accessory protein (AtCOQ9)"	"soluble or peripheral protein"	"0"
"178"	"AT1G19290.1"	"At1g19290"	"putative mitochondrial intron splicing factor (AtTANG2)"	"soluble or peripheral protein"	"0"
"179"	"AT1G19396.1"	"At1g19396"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"180"	"AT1G19520.1"	"At1g19520"	"putative component mS77 of small subunit of mitochondrial ribosome (AtmS77/AtPPR2)"	"soluble or peripheral protein"	"0"
"181"	"AT1G19580.1"	"At1g19580"	"putative plant-specific component CA of carbonic anhydrase module of NADH...(AtCA1)"	"soluble or peripheral protein"	"0"
"182"	"AT1G19830.1"	"At1g19830"	"putative SAUR-type hormone signal effector (AtSAUR54)"	"soluble or peripheral protein"	"0"
"183"	"AT1G19840.1"	"At1g19840"	"putative SAUR-type hormone signal effector (AtSAUR53)"	"soluble or peripheral protein"	"0"
"184"	"AT1G20240.1"	"At1g20240"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"185"	"AT1G20300.1"	"At1g20300"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"186"	"AT1G20350.1"	"At1g20350"	"mitochondrial inner membrane translocase component (AtTIM17-1)"	"membrane protein"	"4"
"187"	"AT1G20430.1"	"At1g20430"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"188"	"AT1G20967.1"	"At1g20967"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"189"	"AT1G21150.1"	"At1g21150"	"putative mTERF-type protein of unknown function (AtmTERF27)"	"soluble or peripheral protein"	"0"
"190"	"AT1G21327.1"	"At1g21327"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"191"	"AT1G21400.1"	"At1g21400"	"putative E1 alpha subunit of alpha-keto acid dehydrogenase complex"	"soluble or peripheral protein"	"0"
"192"	"AT1G21475.1"	"At1g21475"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"193"	"AT1G21920.1"	"At1g21920"	"protein of unknown function, involved in flowering regulation (AtMRF1)"	"membrane protein"	"2"
"194"	"AT1G22060.1"	"At1g22060"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"195"	"AT1G22450.1"	"At1g22450"	"subunit of cytochrome c oxidase (AtCOX6B-1)"	"soluble or peripheral protein"	"0"
"196"	"AT1G22520.1"	"At1g22520"	"putative (yeast Mic10)-like component of MICOS complex (AtMio10-2/AtMic10)"	"membrane protein"	"2"
"197"	"AT1G22660.1"	"At1g22660"	"putative RNA nucleotidyltransferase"	"soluble or peripheral protein"	"0"
"198"	"AT1G22767.1"	"At1g22767"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"199"	"AT1G22800.1"	"At1g22800"	"putative (animal NDUFAF5)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"200"	"AT1G22830.1"	"At1g22830"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"201"	"AT1G22840.1"	"At1g22840"	"putative cytochrome-c electron shuttle hemoprotein (AtCytC-1/AtCytC-A)"	"soluble or peripheral protein"	"0"
"202"	"AT1G22882.1"	"At1g22882"	"putative mid-SUN-type protein of unknown function (AtSUN3)"	"membrane protein"	"3"
"203"	"AT1G22960.1"	"At1g22960"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"204"	"AT1G23020.1"	"At1g23020"	"putative ferric-chelate reductase (AtFRO3)"	"membrane protein"	"12"
"205"	"AT1G23074.1"	"At1g23074"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"206"	"AT1G23100.1"	"At1g23100"	"putative (yeast Hsp10)-type mitochondrial chaperonin (AtmtHSP10B)"	"soluble or peripheral protein"	"0"
"207"	"AT1G23150.1"	"At1g23150"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"208"	"AT1G23250.1"	"At1g23250"	"putative caleosin peroxygenase"	"membrane protein"	"2"
"209"	"AT1G23450.1"	"At1g23450"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"210"	"AT1G23465.1"	"At1g23465"	"component of mitochondrial inner membrane protease (AtIMP1-3)"	"soluble or peripheral protein"	"0"
"211"	"AT1G23690.1"	"At1g23690"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"212"	"AT1G23800.1"	"At1g23800"	"putative aldehyde dehydrogenase (AtALDH2b/AtALDH2B7)"	"soluble or peripheral protein"	"0"
"213"	"AT1G23965.1"	"At1g23965"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"214"	"AT1G24090.1"	"At1g24090"	"putative ribonuclease H1 involved in plastid R-loop homeostasis (AtRNH1c)"	"soluble or peripheral protein"	"0"
"215"	"AT1G24095.1"	"At1g24095"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"216"	"AT1G24159.1"	"At1g24159"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"217"	"AT1G24180.1"	"At1g24180"	"putative E1 alpha subunit of pyruvate dehydrogenase complex (AtIAR4)"	"soluble or peripheral protein"	"0"
"218"	"AT1G24240.1"	"At1g24240"	"putative component bL19M of large subunit of mitochondrial ribosome (AtmtRPL19)"	"soluble or peripheral protein"	"0"
"219"	"AT1G24267.1"	"At1g24267"	"protein of unknown function"	"membrane protein"	"1"
